tpep_pickup_date,hour_pickup,count,day_of_week,month_bin,pickup_bin
2022-01-29,22,2500,5,1,3
2022-01-29,23,1825,5,1,3
2022-01-30,0,1953,6,1,0
2022-01-30,1,1630,6,1,0
2022-01-30,2,1345,6,1,0
2022-01-30,3,932,6,1,0
2022-01-30,4,596,6,1,0
2022-01-30,5,268,6,1,0
2022-01-30,6,516,6,1,0
2022-01-30,7,765,6,1,1
2022-01-30,8,1202,6,1,1
2022-01-30,9,1993,6,1,1
2022-01-30,10,3152,6,1,1
2022-01-30,11,4295,6,1,1
2022-01-30,12,5072,6,1,1
2022-01-30,13,5204,6,1,2
2022-01-30,14,5565,6,1,2
2022-01-30,15,5682,6,1,2
2022-01-30,16,5249,6,1,2
2022-01-30,17,5112,6,1,2
2022-01-30,18,5376,6,1,2
2022-01-30,19,3852,6,1,3
2022-01-30,20,3426,6,1,3
2022-01-30,21,3183,6,1,3
2022-01-30,22,2770,6,1,3
2022-01-30,23,1546,6,1,3
2022-01-31,0,1240,0,1,0
2022-01-31,1,640,0,1,0
2022-01-31,2,308,0,1,0
2022-01-31,3,270,0,1,0
2022-01-31,4,350,0,1,0
2022-01-31,5,631,0,1,0
2022-01-31,6,1753,0,1,0
2022-01-31,7,3487,0,1,1
2022-01-31,8,4632,0,1,1
2022-01-31,9,4543,0,1,1
2022-01-31,10,4314,0,1,1
2022-01-31,11,4218,0,1,1
2022-01-31,12,4654,0,1,1
2022-01-31,13,4569,0,1,2
2022-01-31,14,5362,0,1,2
2022-01-31,15,5896,0,1,2
2022-01-31,16,5599,0,1,2
2022-01-31,17,6682,0,1,2
2022-01-31,18,7108,0,1,2
2022-01-31,19,5560,0,1,3
2022-01-31,20,4149,0,1,3
2022-01-31,21,3672,0,1,3
2022-01-31,23,1753,0,1,3
2022-02-01,0,1158,1,1,0
2022-02-01,1,555,1,1,0
2022-02-01,2,317,1,1,0
2022-02-01,3,226,1,1,0
2022-02-01,4,188,1,1,0
2022-02-01,5,528,1,1,0
2022-02-01,6,1774,1,1,0
2022-02-01,7,3420,1,1,1
2022-02-01,8,4728,1,1,1
2022-02-01,9,4935,1,1,1
2022-02-01,10,4914,1,1,1
2022-02-01,11,4604,1,1,1
2022-02-01,12,4957,1,1,1
2022-02-01,13,5223,1,1,2
2022-02-01,14,5636,1,1,2
2022-02-01,15,6036,1,1,2
